Date,Close
3/31/2020 16:00:00,104.8
4/1/2020 16:00:00,96.31
4/2/2020 16:00:00,90.89
4/3/2020 16:00:00,96
4/6/2020 16:00:00,103.25
4/7/2020 16:00:00,109.09
4/8/2020 16:00:00,109.77
4/9/2020 16:00:00,114.6
4/13/2020 16:00:00,130.19
4/14/2020 16:00:00,141.98
4/15/2020 16:00:00,145.97
4/16/2020 16:00:00,149.04
4/17/2020 16:00:00,150.78
4/20/2020 16:00:00,149.27
4/21/2020 16:00:00,137.34
4/22/2020 16:00:00,146.42
4/23/2020 16:00:00,141.13
4/24/2020 16:00:00,145.03
4/27/2020 16:00:00,159.75
4/28/2020 16:00:00,153.82
4/29/2020 16:00:00,160.1
4/30/2020 16:00:00,156.38
5/1/2020 16:00:00,140.26
5/4/2020 16:00:00,152.24
5/5/2020 16:00:00,153.64
5/6/2020 16:00:00,156.52
5/7/2020 16:00:00,156.01
5/8/2020 16:00:00,163.88
5/11/2020 16:00:00,162.26
5/12/2020 16:00:00,161.88
5/13/2020 16:00:00,158.19
5/14/2020 16:00:00,160.67
5/15/2020 16:00:00,159.83
5/18/2020 16:00:00,162.73
5/19/2020 16:00:00,161.6
5/20/2020 16:00:00,163.11
5/21/2020 16:00:00,165.52
5/22/2020 16:00:00,163.38
5/26/2020 16:00:00,163.77
5/27/2020 16:00:00,164.05
5/28/2020 16:00:00,161.16
5/29/2020 16:00:00,167
6/1/2020 16:00:00,179.62
6/2/2020 16:00:00,176.31
6/3/2020 16:00:00,176.59
6/4/2020 16:00:00,172.88
6/5/2020 16:00:00,177.13
6/8/2020 16:00:00,189.98
6/9/2020 16:00:00,188.13
6/10/2020 16:00:00,205.01
6/11/2020 16:00:00,194.57
6/12/2020 16:00:00,187.06
6/15/2020 16:00:00,198.18
6/16/2020 16:00:00,196.43
6/17/2020 16:00:00,198.36
6/18/2020 16:00:00,200.79
6/19/2020 16:00:00,200.18
6/22/2020 16:00:00,198.86
6/23/2020 16:00:00,200.36
6/24/2020 16:00:00,192.17
6/25/2020 16:00:00,197.2
6/26/2020 16:00:00,191.95
6/29/2020 16:00:00,201.87
6/30/2020 16:00:00,215.96
7/1/2020 16:00:00,223.93
7/2/2020 16:00:00,241.73
7/6/2020 16:00:00,274.32
7/7/2020 16:00:00,277.97
7/8/2020 16:00:00,273.18
7/9/2020 16:00:00,278.86
7/10/2020 16:00:00,308.93
7/13/2020 16:00:00,299.41
7/14/2020 16:00:00,303.36
7/15/2020 16:00:00,309.2
7/16/2020 16:00:00,300.13
7/17/2020 16:00:00,300.17
7/20/2020 16:00:00,328.6
7/21/2020 16:00:00,313.67
7/22/2020 16:00:00,318.47
7/23/2020 16:00:00,302.61
7/24/2020 16:00:00,283.4
7/27/2020 16:00:00,307.92
7/28/2020 16:00:00,295.3
7/29/2020 16:00:00,299.82
7/30/2020 16:00:00,297.5
